,Place of interest,Type of place,Place address,BiciMAD station,Station location
17,Colegio Público Aravaca,Colegio Público,Calle Estudio 6,Facultad Derecho,Avenida Complutense 23
18,Colegio Público Arcipreste de Hita,Colegio Público,Calle Antonio Moreno 25,Marqués de Vadillo,Glorieta Marqués de Vadillo 9
19,Colegio Público Arquitecto Gaudí,Colegio Público,Calle Rosa Jardon 10,Pío XII,Avenida Pío XII 3
20,Colegio Público Asturias,Colegio Público,Calle Asturianos 2,Pavones,Calle Hacienda de Pavones 342
21,Colegio Público Ausias March,Colegio Público,Calle Estefanita 9,Embajadores 191,Calle Sodio 1B
22,Colegio Público Azorín,Colegio Público,Calle Godella 57,Embajadores 191,Calle Sodio 1B
23,Colegio Público Barcelona,Colegio Público,Avenida La Verbena De La Paloma 14,Glorieta de Cádiz,Calle Antonio López 129
24,Colegio Público Blas de Lezo,Colegio Público,Calle Fromista 27,Pedro Rico,Calle Pedro Rico 4
25,Colegio Público Blas de Otero,Colegio Público,Calle Puentelarra 34,Pavones,Calle Hacienda de Pavones 342
26,Colegio Público Bolivia,Colegio Público,Calle Villavaliente 29,Caramuel,Calle Caramuel 51
27,Colegio Público Bravo Murillo,Colegio Público,Calle Islas Cies 11,Francos Rodríguez,Calle Francos Rodríguez 62
28,Colegio Público Breogán,Colegio Público,Calle Ginzo De Limia 2,Remonta,Calle Azucenas 1
29,Colegio Público Calderón de la Barca,Colegio Público,Calle Calderon 2,Gutierre de Cetina,Calle Gutierre de Cetina 77
30,Colegio Público Camilo José Cela,Colegio Público,Calle Melchor Fernandez Almagro 22,Pedro Rico,Calle Pedro Rico 4
31,Colegio Público Capitán Cortés,Colegio Público,Calle Monseñor Oscar Romero 17,Marqués de Vadillo,Glorieta Marqués de Vadillo 9
32,Colegio Público Cardenal Herrera Oria,Colegio Público,Calle Fermin Caballero 68,Pedro Rico,Calle Pedro Rico 4
33,Colegio Público Carlos Sáinz de los Terreros,Colegio Público,Calle Cartama 1,Pavones,Calle Hacienda de Pavones 342
34,Colegio Público Carlos V,Colegio Público,Calle Virgen Del Val 3,Avenida Donostiarra,Calle Virgen de la Alegría 18
35,Colegio Público Carmen Cabezuelo,Colegio Público,Calle Cangas De Onis 7,Gutierre de Cetina,Calle Gutierre de Cetina 77
36,Colegio Público Carmen Laforet,Colegio Público,Calle Titanio 16,Pavones,Calle Hacienda de Pavones 342
37,Colegio Público Cervantes,Colegio Público,Calle Raimundo Fernandez Villaverde 4,Glorieta de los Cuatro Caminos,Calle Santa Engracia 168
38,Colegio Público Ciudad Pegaso,Colegio Público,Avenida Septima 12,Gutierre de Cetina,Calle Gutierre de Cetina 77
39,Colegio Público Ciudad de Badajoz,Colegio Público,Calle Fray Jose Cerdeiriña 51,Caramuel,Calle Caramuel 51
40,Colegio Público Ciudad de Córdoba,Colegio Público,Calle Lillo 1,Glorieta de Cádiz,Calle Antonio López 129
41,Colegio Público Ciudad de Guadalajara,Colegio Público,Calle Bergantin 13,Gutierre de Cetina,Calle Gutierre de Cetina 77
42,Colegio Público Ciudad de Jaén,Colegio Público,Calle Madre Rosa Blanco 3,Glorieta de Cádiz,Calle Antonio López 129
43,Colegio Público Ciudad de Roma,Colegio Público,Calle Juan Esplandiu 2,Parque Roma,Calle Alcalde Sáinz de Baranda frente al 107
44,Colegio Público Ciudad de Valencia,Colegio Público,Avenida Mediterraneo 91,Pavones,Calle Hacienda de Pavones 342
45,Colegio Público Ciudad de Zaragoza,Colegio Público,Calle Manuel Aguilar Muñoz 1,Gutierre de Cetina,Calle Gutierre de Cetina 77
46,Colegio Público Ciudad de los Ángeles,Colegio Público,Calle La Alegria De La Huerta 6,Glorieta de Cádiz,Calle Antonio López 129
47,Colegio Público Claudio Moyano,Colegio Público,Calle Cea Bermudez 26,Parque Santander,Calle Santander esquina con Avenida de Filipinas
48,Colegio Público Complejo Escolar Príncipe Felipe,Colegio Público,Avenida Monforte De Lemos 24,Pedro Rico,Calle Pedro Rico 4
49,Colegio Público Concepción Arenal,Colegio Público,Calle Antonio Lopez 1,Marqués de Vadillo,Glorieta Marqués de Vadillo 9
50,Colegio Público Concha Espina,Colegio Público,Calle Gerardo Diego 6,Pavones,Calle Hacienda de Pavones 342
51,Colegio Público Conde de Romanones,Colegio Público,Calle Elfo 143,C.D. Concepción,Calle Jose del Hierro 5
52,Colegio Público Cortes de Cádiz,Colegio Público,Avenida Niceto Alcala Zamora 48,Manuel Caldeiro,Paseo de la Castellana 298
53,Colegio Público Costa Rica,Colegio Público,Calle Camarena 247,Caramuel,Calle Caramuel 51
54,Colegio Público Cristóbal Colón,Colegio Público,Carretera Carabanchel A Villaverde 109,Glorieta de Cádiz,Calle Antonio López 129
55,Colegio Público Cuba,Colegio Público,Calle Tembleque 58,Caramuel,Calle Caramuel 51
56,Colegio Público Daniel Vázquez Díaz,Colegio Público,Calle Armenteros 46,Francos Rodríguez,Calle Francos Rodríguez 62
57,Colegio Público Dionisio Ridruejo,Colegio Público,Calle Zipaquira 14,Carlota O’Neill,Calle Carlota O'Neill 32
58,Colegio Público Doctor Conde Arruga,Colegio Público,Calle Hacienda De Pavones 105,Marroquina,Calle Camino de los Vinateros 108
59,Colegio Público Doctor Federico Rubio,Colegio Público,Avenida Doctor Federico Rubio Y Gali 53,Pablo Iglesias,Calle Francisco Balseiro 1
60,Colegio Público Doctor Severo Ochoa,Colegio Público,Calle Ezcaray 3,Pavones,Calle Hacienda de Pavones 342
61,Colegio Público Doctor Tolosa Latour,Colegio Público,Calle Asturianos 4,Pavones,Calle Hacienda de Pavones 342
62,Colegio Público Dámaso Alonso,Colegio Público,Avenida Espinela 1,Glorieta de Cádiz,Calle Antonio López 129
63,Colegio Público EEUU - Huarte de San Juan,Colegio Público,Paseo Comandante Fortea 71,Paseo de Moret,Paseo de Moret 11
64,Colegio Público Eduardo Rojo,Colegio Público,Calle Eduardo Rojo 5,Concordia,Calle Arroyo del Olivar 6
65,Colegio Público El Espinillo,Colegio Público,Calle Unanimidad 1,Embajadores 191,Calle Sodio 1B
66,Colegio Público El Greco,Colegio Público,Calle Estefanita 7,Embajadores 191,Calle Sodio 1B
67,Colegio Público El Madroño,Colegio Público,Calle Las Marismas 14,Plaza del Encuentro,Calle Arroyo de las Pilillas 6
68,Colegio Público El Quijote,Colegio Público,Calle Fuentidueña 4,Pavones,Calle Hacienda de Pavones 342
69,Colegio Público El Sol,Colegio Público,Avenida Canillejas A Vicalvaro 82,Gutierre de Cetina,Calle Gutierre de Cetina 77
70,Colegio Público Emilia Pardo Bazán,Colegio Público,Calle Ventorrillo 14,Ribera de Curtidores,Calle Ribera de Curtidores 28
71,Colegio Público Ermita del Santo,Colegio Público,Paseo Ermita Del Santo 18,Ermita Santo,Paseo de la Ermita del Santo 48
72,Colegio Público Escuelas Aguirre,Colegio Público,Calle Pio Baroja 4,Pío Baroja,Calle Pío Baroja 10
73,Colegio Público Escuelas Bosque,Colegio Público,Avenida Santo Angel De La Guarda 4,Francos Rodríguez,Calle Francos Rodríguez 62
74,Colegio Público Esperanza,Colegio Público,Calle Andorra 12,Carlota O’Neill,Calle Carlota O'Neill 32
75,Colegio Público Eugenio María de Hostos,Colegio Público,Calle Valdevarnes 26,Francos Rodríguez,Calle Francos Rodríguez 62
76,Colegio Público Felipe II,Colegio Público,Avenida Asturias 70,Remonta,Calle Azucenas 1
77,Colegio Público Fernando el Católico,Colegio Público,Calle Fernando El Catolico 16,Fernando el Católico,Calle Fernando el Católico 19
78,Colegio Público Fernández de Moratín,Colegio Público,Avenida Valladolid 2,Paseo de Moret,Paseo de Moret 11
79,Colegio Público Filósofo Séneca,Colegio Público,Calle Santa Adela 21,Pío XII,Avenida Pío XII 3
80,Colegio Público Fontarrón,Colegio Público,Calle Arroyo Fontarron 24,Pavones,Calle Hacienda de Pavones 342
81,Colegio Público Francisco Arranz,Colegio Público,Calle Sondica 2,Caramuel,Calle Caramuel 51
82,Colegio Público Francisco Fatóu,Colegio Público,Camino Suerte 23,Pavones,Calle Hacienda de Pavones 342
83,Colegio Público Francisco Ruano,Colegio Público,Calle Almuradiel 150,Méndez Álvaro,Calle Retama 5
84,Colegio Público Francisco de Goya,Colegio Público,Calle Antillon 23,Caramuel,Calle Caramuel 51
85,Colegio Público Francisco de Luis,Colegio Público,Calle Corregidor Rodrigo Rodriguez 5,Camino Vinateros,Calle Camino de los Vinateros 28
86,Colegio Público Francisco de Quevedo,Colegio Público,Calle Granada 16,Puerta de Granada,Avenida de Menéndez Pelayo 38
87,Colegio Público Fray Junípero Serra,Colegio Público,Camino Valderribas 120,Sierra Toledana,Camino de Valderribas 94
88,Colegio Público Gabriela Mistral,Colegio Público,Calle Mirallos 3,Manuel Caldeiro,Paseo de la Castellana 298
89,Colegio Público Gandhi,Colegio Público,Calle Gandhi 10,Gutierre de Cetina,Calle Gutierre de Cetina 77
90,Colegio Público Garcilaso de la Vega,Colegio Público,Calle Trefacio 18,Carlota O’Neill,Calle Carlota O'Neill 32
91,Colegio Público García Morente,Colegio Público,Ronda Sur 229,Concordia,Calle Arroyo del Olivar 6
92,Colegio Público Giner de los Ríos,Colegio Público,Calle Membezar 25,Concordia,Calle Arroyo del Olivar 6
93,Colegio Público Gloria Fuertes,Colegio Público,Calle Censo 3,Glorieta de Cádiz,Calle Antonio López 129
94,Colegio Público Gonzalo Fernández de Córdoba,Colegio Público,Calle Adanero 3,Caramuel,Calle Caramuel 51
95,Colegio Público Gonzalo de Berceo,Colegio Público,Avenida Abrantes 5,Marqués de Vadillo,Glorieta Marqués de Vadillo 9
96,Colegio Público Guindalera,Colegio Público,Calle Boston 3,Camilo José Cela,Avenida de Camilo José Cela 23
97,Colegio Público Gustavo Adolfo Bécquer,Colegio Público,Calle Santa Genoveva 32,Marqués de Corbera 52,Avenida Marqués de Corbera 52
98,Colegio Público Haití,Colegio Público,Calle Guabairo 22,Caramuel,Calle Caramuel 51
99,Colegio Público Hermanos Pinzón,Colegio Público,Calle Azor 4,Caramuel,Calle Caramuel 51
100,Colegio Público Hernán Cortés,Colegio Público,Calle Los Yebenes 241,Caramuel,Calle Caramuel 51
101,Colegio Público Honduras,Colegio Público,Paseo Federico Garcia Lorca 19,Pavones,Calle Hacienda de Pavones 342
102,Colegio Público Hortaleza,Colegio Público,Calle Valdetorres De Jarama 1,Carlota O’Neill,Calle Carlota O'Neill 32
103,Colegio Público Ignacio Zuloaga,Colegio Público,Calle Alejandro Rodriguez 34,Francos Rodríguez,Calle Francos Rodríguez 62
104,Colegio Público Infanta Leonor,Colegio Público,Calle Monasterio De El Paular 140,Pedro Rico,Calle Pedro Rico 4
105,Colegio Público Isaac Albéniz,Colegio Público,Calle Dracena 29,Pío XII,Avenida Pío XII 3
106,Colegio Público Isaac Peral,Colegio Público,Glorieta Rufino Novalvos 5,Marqués de Vadillo,Glorieta Marqués de Vadillo 9
107,Colegio Público Isabel la Católica,Colegio Público,Calle Barcelo 2,Barceló,Calle Barceló 7
108,Colegio Público Jaime Balmes,Colegio Público,Calle Sierra De La Solana 2,Concordia,Calle Arroyo del Olivar 6
109,Colegio Público Jaime Vera,Colegio Público,Calle Bravo Murillo 162,Estrecho,Calle Navarra 1
110,Colegio Público Javier de Miguel,Colegio Público,Calle Javier De Miguel 90,Concordia,Calle Arroyo del Olivar 6
111,Colegio Público Joaquín Costa,Colegio Público,Paseo Pontones 8,Paseo Imperial,Paseo Imperial 20
112,Colegio Público Joaquín Dicenta,Colegio Público,Paseo Olivos 70,Caramuel,Calle Caramuel 51
113,Colegio Público Joaquín Turina,Colegio Público,Calle Arturo Soria 332,Manuel Caldeiro,Paseo de la Castellana 298
114,Colegio Público Jorge Guillén,Colegio Público,Avenida El Ferrol 47,Remonta,Calle Azucenas 1
115,Colegio Público Jorge Manrique,Colegio Público,Plaza Pintor Lucas 17,San Delfín,Calle San Delfín 9
116,Colegio Público Josep Tarradellas,Colegio Público,Calle Triacastela 1,Manuel Caldeiro,Paseo de la Castellana 298
117,Colegio Público José Bergamín,Colegio Público,Calle Braille 19,Pedro Rico,Calle Pedro Rico 4
118,Colegio Público José Calvo Sotelo,Colegio Público,Avenida Ciudad De Barcelona 83,Pedro Bosch,Calle Cerro de la Plata 2
119,Colegio Público José María de Pereda,Colegio Público,Calle Mestanza 94,Méndez Álvaro,Calle Retama 5
120,Colegio Público José Ortega y Gasset,Colegio Público,Calle Orense 87,Remonta,Calle Azucenas 1
121,Colegio Público José de Echegaray,Colegio Público,Calle Puentedey 14,Pavones,Calle Hacienda de Pavones 342
122,Colegio Público Jovellanos,Colegio Público,Calle Monroy 34,Caramuel,Calle Caramuel 51
123,Colegio Público Juan Gris,Colegio Público,Calle Muela De San Juan 31,Pavones,Calle Hacienda de Pavones 342
124,Colegio Público Juan Ramón Jiménez,Colegio Público,Calle Marques De Viana 58,Metro Tetuán,Calle Marqués de Viana 3
125,Colegio Público Juan Sebastián Elcano,Colegio Público,Calle Mirasierra 29,Antonio López,Calle Eugenio Caxes frente al 12
126,Colegio Público Juan Zaragüeta,Colegio Público,Calle Via De Los Poblados 19,Carlota O’Neill,Calle Carlota O'Neill 32
127,Colegio Público Juan de la Cierva,Colegio Público,Calle Villarrosa 7,Embajadores 191,Calle Sodio 1B
128,Colegio Público Julián Besteiro,Colegio Público,Avenida Abrantes 79,Marqués de Vadillo,Glorieta Marqués de Vadillo 9
129,Colegio Público Julián Marías,Colegio Público,Calle Budapest 11,Gutierre de Cetina,Calle Gutierre de Cetina 77
130,Colegio Público La Alameda,Colegio Público,Calle Musas 9,Gutierre de Cetina,Calle Gutierre de Cetina 77
131,Colegio Público La Dehesa del Príncipe,Colegio Público,Paseo Lanceros 4,Caramuel,Calle Caramuel 51
132,Colegio Público La Latina,Colegio Público,Calle Maqueda 130,Caramuel,Calle Caramuel 51
133,Colegio Público La Rioja,Colegio Público,Calle Leon Felipe 3,Pavones,Calle Hacienda de Pavones 342
134,Colegio Público Legado Crespo,Colegio Público,Paseo Acacias 2,Embajadores 1,Glorieta de Embajadores 6
135,Colegio Público Leopoldo Alas,Colegio Público,Calle Pedrezuela 18,Marqués de Corbera 52,Avenida Marqués de Corbera 52
136,Colegio Público Leopoldo Calvo Sotelo,Colegio Público,Calle Castiello De Jaca 2,Manuel Caldeiro,Paseo de la Castellana 298
137,Colegio Público Lepanto,Colegio Público,Calle Valderrey 9,Francos Rodríguez,Calle Francos Rodríguez 62
138,Colegio Público Lope de Vega,Colegio Público,Calle Inglaterra 8,Marqués de Vadillo,Glorieta Marqués de Vadillo 9
139,Colegio Público Lorenzo Luzuriaga,Colegio Público,Calle Valencia De Don Juan 13,Pedro Rico,Calle Pedro Rico 4
140,Colegio Público Los Almendros,Colegio Público,Calle Ladera De Los Almendros 45,Pavones,Calle Hacienda de Pavones 342
141,Colegio Público Los Rosales,Colegio Público,Avenida Los Rosales 131,Embajadores 191,Calle Sodio 1B
142,Colegio Público Loyola de Palacio,Colegio Público,Calle Embalse De Navacerrada 60,Pavones,Calle Hacienda de Pavones 342
143,Colegio Público Luis Bello,Colegio Público,Calle Luis Cabrera 66,Prosperidad,Calle Suero de Quiñones 2
144,Colegio Público Luis Cernuda,Colegio Público,Calle Carril Del Conde 64,Carlota O’Neill,Calle Carlota O'Neill 32
145,Colegio Público Luis de Góngora,Colegio Público,Calle Sarria 49,Francos Rodríguez,Calle Francos Rodríguez 62
146,Colegio Público Madrid Sur,Colegio Público,Calle Puerto De Balbaran 133,Concordia,Calle Arroyo del Olivar 6
147,Colegio Público Maestro Padilla,Colegio Público,Avenida Peseta 112,Marqués de Vadillo,Glorieta Marqués de Vadillo 9
148,Colegio Público Manuel Bartolomé Cossío,Colegio Público,Calle Jose De Cadalso 19,Caramuel,Calle Caramuel 51
149,Colegio Público Manuel Núñez de Arenas,Colegio Público,Calle Martos 120,Concordia,Calle Arroyo del Olivar 6
150,Colegio Público Manuel Sáinz de Vicuña,Colegio Público,Calle Camino De Los Vinateros 104,Plaza del Encuentro,Calle Arroyo de las Pilillas 6
151,Colegio Público Manuel de Falla,Colegio Público,Calle Jose Ortuño Ponce 2,Glorieta de Cádiz,Calle Antonio López 129
152,Colegio Público Marcelo Usera,Colegio Público,Calle Perales De Tajuña 1,Glorieta de Cádiz,Calle Antonio López 129
153,Colegio Público Margaret Thatcher,Colegio Público,Glorieta Playa De San Lorenzo 4,Carlota O’Neill,Calle Carlota O'Neill 32
154,Colegio Público Mariano José de Larra,Colegio Público,Calle Longares 11,Gutierre de Cetina,Calle Gutierre de Cetina 77
155,Colegio Público Marqués de Marcenado,Colegio Público,Calle Linneo 31,Paseo Imperial,Paseo Imperial 20
156,Colegio Público Marqués de Suanzes,Colegio Público,Avenida Veinticinco De Septiembre 1,Gutierre de Cetina,Calle Gutierre de Cetina 77
157,Colegio Público Martínez Montañés,Colegio Público,Calle Hacienda De Pavones 223,Pavones,Calle Hacienda de Pavones 342
158,Colegio Público María Moliner,Colegio Público,Calle Arcos De Jalon 34,Gutierre de Cetina,Calle Gutierre de Cetina 77
159,Colegio Público María de Villota,Colegio Público,Calle Enrique Garcia Alvarez 11,Pavones,Calle Hacienda de Pavones 342
160,Colegio Público Menéndez Pelayo,Colegio Público,Calle Mendez Alvaro 16,Atocha B,Paseo de la Infanta Isabel 3
161,Colegio Público Menéndez Pidal,Colegio Público,Calle Encomienda De Palacios 85,Pavones,Calle Hacienda de Pavones 342
162,Colegio Público Meseta de Orcasitas,Colegio Público,Calle Camino Viejo De Villaverde 1,Glorieta de Cádiz,Calle Antonio López 129
163,Colegio Público Mesonero Romanos,Colegio Público,Calle Pont De Molins 31,Pavones,Calle Hacienda de Pavones 342
164,Colegio Público Miguel Blasco Vilatela,Colegio Público,Calle Hermanos Garcia Noblejas 70,Gutierre de Cetina,Calle Gutierre de Cetina 77
165,Colegio Público Miguel Servet,Colegio Público,Calle Fragata 33,Caramuel,Calle Caramuel 51
166,Colegio Público Miguel de Unamuno,Colegio Público,Calle Alicante 5,Beata,Calle Alicante 3
167,Colegio Público Mirasierra,Colegio Público,Calle La Maso 22,Pedro Rico,Calle Pedro Rico 4
168,Colegio Público Monte de El Pardo,Colegio Público,Avenida Guardia 19,Facultad Derecho,Avenida Complutense 23
169,Colegio Público Méjico (México),Colegio Público,Avenida Badajoz 74,Carlota O’Neill,Calle Carlota O'Neill 32
170,Colegio Público Méndez Núñez,Colegio Público,Calle Alicun 9,Chamartín,Calle Rodríguez Jaén 40
171,Colegio Público Navas de Tolosa,Colegio Público,Calle Benimamet 109,Embajadores 191,Calle Sodio 1B
172,Colegio Público Nuestra Señora de la Almudena,Colegio Público,Calle Lope De Rueda 48,Retiro-Ibiza,Calle Ibiza 18
173,Colegio Público Nuestra Señora de la Concepción,Colegio Público,Calle Virgen Del Sagrario 24,C.D. Concepción,Calle Jose del Hierro 5
174,Colegio Público Nuestra Señora de la Fuencisla,Colegio Público,Calle Tomelloso 39,Glorieta de Cádiz,Calle Antonio López 129
175,Colegio Público Nuestra Señora de la Luz,Colegio Público,Calle Magnesia 9,Glorieta de Cádiz,Calle Antonio López 129
176,Colegio Público Nuestra Señora de la Paloma,Colegio Público,Calle Tabernillas 2,Plaza de los Carros,Carrera de San Francisco 1
177,Colegio Público Nuestra Señora del Lucero,Colegio Público,Calle Muñico 1,Caramuel,Calle Caramuel 51
178,Colegio Público Nuria Espert,Colegio Público,Calle Maria Reiche 34,Carlota O’Neill,Calle Carlota O'Neill 32
179,Colegio Público Pablo Picasso,Colegio Público,Calle Angel Luis De La Herran 35,Carlota O’Neill,Calle Carlota O'Neill 32
180,Colegio Público Padre Coloma,Colegio Público,Calle Gutierrez Canales 19,Gutierre de Cetina,Calle Gutierre de Cetina 77
181,Colegio Público Padre Mariana,Colegio Público,Ronda Sur 145,Concordia,Calle Arroyo del Olivar 6
182,Colegio Público Padre Poveda,Colegio Público,Avenida Alfonso Xiii 23,Corazón de María,Calle Santa Hortensia 31
183,Colegio Público Palacio Valdés,Colegio Público,Paseo Prado 38,Almadén,Calle Almadén 28
184,Colegio Público Palomeras Bajas,Colegio Público,Calle Felipe De Diego 6,Concordia,Calle Arroyo del Olivar 6
185,Colegio Público Parque Aluche,Colegio Público,Calle Quero 47,Caramuel,Calle Caramuel 51
186,Colegio Público Parque Eugenia de Montijo,Colegio Público,Calle Parque Eugenia De Montijo 28,Caramuel,Calle Caramuel 51
187,Colegio Público Pasamonte,Colegio Público,Avenida Doctor Garcia Tapia 47,Marroquina,Calle Camino de los Vinateros 108
188,Colegio Público Patriarca Obispo Eijo y Garay,Colegio Público,Calle Lopez De Hoyos 40,Velázquez 130,Calle Velázquez 130
189,Colegio Público Pedro Duque,Colegio Público,Calle Marmolina 5,Pavones,Calle Hacienda de Pavones 342
190,Colegio Público Perú,Colegio Público,Calle Baleares 18,San Delfín,Calle San Delfín 9
191,Colegio Público Pi I Margall,Colegio Público,Plaza Dos De Mayo 2,San Andrés,Calle San Andrés 18
192,Colegio Público Pinar de San José,Colegio Público,Calle Patrimonio De La Humanidad 39,Caramuel,Calle Caramuel 51
193,Colegio Público Pinar del Rey,Colegio Público,Avenida San Luis 23,Pío XII,Avenida Pío XII 3
194,Colegio Público Pintor Rosales,Colegio Público,Calle Principe De Vergara 139,María Francisca 1,Calle María Francisca 1
195,Colegio Público Plácido Domingo,Colegio Público,Calle Tejo 5,Méndez Álvaro,Calle Retama 5
196,Colegio Público Portugal,Colegio Público,Calle Juan Alvarez Mendizabal 20,Ventura Rodríguez,Calle Duque de Liria
197,Colegio Público Pradolongo,Colegio Público,Calle Parque De La Paloma 9,San Delfín,Calle San Delfín 9
198,Colegio Público Príncipe de Asturias,Colegio Público,Calle Kant 2,Pedro Rico,Calle Pedro Rico 4
199,Colegio Público Puerto Rico,Colegio Público,Calle Segura 74,Glorieta de Cádiz,Calle Antonio López 129
200,Colegio Público Pío Baroja,Colegio Público,Calle Luis De Hoyos Sainz 84,Pavones,Calle Hacienda de Pavones 342
201,Colegio Público Pío XII,Colegio Público,Calle Delfin 2,Remonta,Calle Azucenas 1
202,Colegio Público Rabindranath Tagore,Colegio Público,Calle Julio Palacios 35,Pedro Rico,Calle Pedro Rico 4
203,Colegio Público Ramiro de Maeztu,Colegio Público,Calle Serrano 127,Serrano 113,Calle Serrano 113B
204,Colegio Público Ramón Gómez de la Serna,Colegio Público,Calle Godella 170,Embajadores 191,Calle Sodio 1B
205,Colegio Público Ramón María del Valle Inclán,Colegio Público,Calle Alconera 1,Gutierre de Cetina,Calle Gutierre de Cetina 77
206,Colegio Público Ramón Pérez de Ayala,Colegio Público,Calle Motilla Del Palancar 19,Carlota O’Neill,Calle Carlota O'Neill 32
207,Colegio Público Real Armada,Colegio Público,Calle Corregidor Juan Francisco De Lujan 114,Marroquina,Calle Camino de los Vinateros 108
208,Colegio Público Regimiento Inmemorial del Rey,Colegio Público,Avenida Moratalaz 51,Camino Vinateros,Calle Camino de los Vinateros 28
209,Colegio Público Reina Victoria,Colegio Público,Calle Principe De Vergara 61,Diego de León 52,Calle Diego de León 52
210,Colegio Público República Dominicana,Colegio Público,Ronda Don Bosco 2,Caramuel,Calle Caramuel 51
211,Colegio Público República de Brasil,Colegio Público,Avenida Fueros 34,Embajadores 191,Calle Sodio 1B
212,Colegio Público República de Chile,Colegio Público,Calle Castillo De Ucles 28,Gutierre de Cetina,Calle Gutierre de Cetina 77
213,Colegio Público República de Colombia,Colegio Público,Plaza Alloz 3,Marqués de Vadillo,Glorieta Marqués de Vadillo 9
214,Colegio Público República de Ecuador,Colegio Público,Calle Valle De Oro 41,Marqués de Vadillo,Glorieta Marqués de Vadillo 9
215,Colegio Público República de El Salvador,Colegio Público,Calle Sacedon 2,Glorieta de Cádiz,Calle Antonio López 129
216,Colegio Público República de Panamá Nº 1,Colegio Público,Calle Peones 2,Gutierre de Cetina,Calle Gutierre de Cetina 77
217,Colegio Público República de Paraguay,Colegio Público,Calle Manresa 60,Pedro Rico,Calle Pedro Rico 4
218,Colegio Público República de Uruguay,Colegio Público,Avenida Nuestra Señora De Valvanera 120,Caramuel,Calle Caramuel 51
219,Colegio Público República de Venezuela,Colegio Público,Calle Cerecinos 8,San Delfín,Calle San Delfín 9
220,Colegio Público Rosa Luxemburgo,Colegio Público,Calle Bardegueral 16,Facultad Derecho,Avenida Complutense 23
221,Colegio Público Rufino Blanco,Colegio Público,Calle General Alvarez De Castro 46,Canal,Calle José Abascal frente al 2
222,Colegio Público Sagunto,Colegio Público,Calle Paterna 14,Embajadores 191,Calle Sodio 1B
223,Colegio Público San Benito,Colegio Público,Calle Juan Perez Zuñiga 36,Carlota O’Neill,Calle Carlota O'Neill 32
224,Colegio Público San Carlos,Colegio Público,Calle Villastar 8,Glorieta de Cádiz,Calle Antonio López 129
225,Colegio Público San Cristóbal,Colegio Público,Calle Bravo Murillo 41,Canal,Calle José Abascal frente al 2
226,Colegio Público San Eugenio y San Isidro,Colegio Público,Calle Peñuelas 31,Paseo de la Esperanza,Paseo de la Esperanza 21
227,Colegio Público San Ignacio de Loyola,Colegio Público,Avenida Abrantes 1,Marqués de Vadillo,Glorieta Marqués de Vadillo 9
228,Colegio Público San Ildefonso,Colegio Público,Calle Alfonso Vi 1,Segovia 26,Calle Segovia 26
229,Colegio Público San Isidoro,Colegio Público,Calle Fuenterrabia 15,Puerta de Granada,Avenida de Menéndez Pelayo 38
230,Colegio Público San Juan Bautista,Colegio Público,Calle Sorzano 1,Condesa de Venadito,Calle Condesa de Venadito 2
231,Colegio Público San Juan Bosco,Colegio Público,Calle Santa Irene 2,Marqués de Corbera 12,Avenida Marqués de Corbera 12
