,Place of interest,Type of place,Place address,Latitude,Longitude
56,Colegio Público Daniel Vázquez Díaz,Colegio Público,Calle Armenteros 46,40.464777111936684,-3.7130226942453906
57,Colegio Público Dionisio Ridruejo,Colegio Público,Calle Zipaquira 14,40.47301835441678,-3.6345431561438026
58,Colegio Público Doctor Conde Arruga,Colegio Público,Calle Hacienda De Pavones 105,40.40382410472334,-3.643579973780007
59,Colegio Público Doctor Federico Rubio,Colegio Público,Avenida Doctor Federico Rubio Y Gali 53,40.45242712056568,-3.7113472292938066
60,Colegio Público Doctor Severo Ochoa,Colegio Público,Calle Ezcaray 3,40.410311030784285,-3.6136821061928113
61,Colegio Público Doctor Tolosa Latour,Colegio Público,Calle Asturianos 4,40.38200381255466,-3.642005680937447
62,Colegio Público Dámaso Alonso,Colegio Público,Avenida Espinela 1,40.34604471386465,-3.7089567302070083
63,Colegio Público EEUU - Huarte de San Juan,Colegio Público,Paseo Comandante Fortea 71,40.42870179468233,-3.733708557423035
64,Colegio Público Eduardo Rojo,Colegio Público,Calle Eduardo Rojo 5,40.38742706684719,-3.6628050333334046
65,Colegio Público El Espinillo,Colegio Público,Calle Unanimidad 1,40.36157241219842,-3.6932788501569522
66,Colegio Público El Greco,Colegio Público,Calle Estefanita 7,40.345482201202394,-3.674981279643457
67,Colegio Público El Madroño,Colegio Público,Calle Las Marismas 14,40.402204300135466,-3.654488722948694
68,Colegio Público El Quijote,Colegio Público,Calle Fuentidueña 4,40.374905112512465,-3.6238093612915145
69,Colegio Público El Sol,Colegio Público,Avenida Canillejas A Vicalvaro 82,40.423997382335585,-3.611684586484881
70,Colegio Público Emilia Pardo Bazán,Colegio Público,Calle Ventorrillo 14,40.40677803487061,-3.705527696367566
71,Colegio Público Ermita del Santo,Colegio Público,Paseo Ermita Del Santo 18,40.41091984789517,-3.7234030687601254
72,Colegio Público Escuelas Aguirre,Colegio Público,Calle Pio Baroja 4,40.41454970248996,-3.674350860475647
73,Colegio Público Escuelas Bosque,Colegio Público,Avenida Santo Angel De La Guarda 4,40.45898733981378,-3.712536881730324
74,Colegio Público Esperanza,Colegio Público,Calle Andorra 12,40.46144263379954,-3.6457808079102354
75,Colegio Público Eugenio María de Hostos,Colegio Público,Calle Valdevarnes 26,40.469162084516505,-3.7177757178062834
76,Colegio Público Felipe II,Colegio Público,Avenida Asturias 70,40.47290570166502,-3.699341838889918
77,Colegio Público Fernando el Católico,Colegio Público,Calle Fernando El Catolico 16,40.434103689530446,-3.7097392943348284
78,Colegio Público Fernández de Moratín,Colegio Público,Avenida Valladolid 2,40.42673321856838,-3.7273094844478685
79,Colegio Público Filósofo Séneca,Colegio Público,Calle Santa Adela 21,40.478381551999256,-3.6502374703975162
80,Colegio Público Fontarrón,Colegio Público,Calle Arroyo Fontarron 24,40.39511351284605,-3.6335755702199677
81,Colegio Público Francisco Arranz,Colegio Público,Calle Sondica 2,40.37492895164089,-3.762609414778231
82,Colegio Público Francisco Fatóu,Colegio Público,Camino Suerte 23,40.37597903288599,-3.6184358604020184
83,Colegio Público Francisco Ruano,Colegio Público,Calle Almuradiel 150,40.380085637390486,-3.673547648504667
84,Colegio Público Francisco de Goya,Colegio Público,Calle Antillon 23,40.411189612846165,-3.727790340862767
85,Colegio Público Francisco de Luis,Colegio Público,Calle Corregidor Rodrigo Rodriguez 5,40.40883801642817,-3.660292565776491
86,Colegio Público Francisco de Quevedo,Colegio Público,Calle Granada 16,40.404727692050116,-3.679332106624429
87,Colegio Público Fray Junípero Serra,Colegio Público,Camino Valderribas 120,40.395309545329106,-3.658157243926342
88,Colegio Público Gabriela Mistral,Colegio Público,Calle Mirallos 3,40.50774206131332,-3.6675525270094127
89,Colegio Público Gandhi,Colegio Público,Calle Gandhi 10,40.423746261606965,-3.6365082780370956
90,Colegio Público Garcilaso de la Vega,Colegio Público,Calle Trefacio 18,40.46699372886275,-3.634108987557183
