,@id,@type,id,title,relation,address.district.@id,address.area.@id,address.locality,address.postal-code,address.street-address,location.latitude,location.longitude,organization.organization-desc,organization.accesibility,organization.schedule,organization.services,organization.organization-name
0,https://datos.madrid.es/egob/catalogo/tipo/entidadesyorganismos/176850-colegio-publico-adolfo-suarez.json,https://datos.madrid.es/egob/kos/entidadesYorganismos/CentrosEducacion/ColegiosPublicos,176850,Colegio Público Adolfo Suárez,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a9344b6faa61c010VgnVCM1000000b205a0aRCRD,https://datos.madrid.es/egob/kos/Provincia/Madrid/Municipio/Madrid/Distrito/Hortaleza,https://datos.madrid.es/egob/kos/Provincia/Madrid/Municipio/Madrid/Distrito/Hortaleza/Barrio/Valdefuentes,MADRID,28050,CALLE INFANTA CATALINA MICAELA 31,40.48860266655876,-3.6525544243312855, ENSEÑANZAS: Segundo ciclo de E. Infantil - Primaria - Educación Secundaria Obligatoria BUS: 174,0,,Comedor - Horario ampliado - Planes de mejora.,Colegio Público Adolfo Suárez
1,https://datos.madrid.es/egob/catalogo/tipo/entidadesyorganismos/5075-colegio-publico-agustina-diez.json,https://datos.madrid.es/egob/kos/entidadesYorganismos/CentrosEducacion/ColegiosPublicos,5075,Colegio Público Agustina Díez,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=dd68a3f5ca71c010VgnVCM1000000b205a0aRCRD,https://datos.madrid.es/egob/kos/Provincia/Madrid/Municipio/Madrid/Distrito/PuenteDeVallecas,https://datos.madrid.es/egob/kos/Provincia/Madrid/Municipio/Madrid/Distrito/PuenteDeVallecas/Barrio/Portazgo,MADRID,28038,CALLE VESUBIO 5,40.3881909372302,-3.647236724917086," ENSEÑANZA: Educación infantil - Primaria METRO: Alto del Arenal BUS: 54 , 58 , 103 , 143",0,,Comedor - Horario ampliado,Colegio Público Agustina Díez
2,https://datos.madrid.es/egob/catalogo/tipo/entidadesyorganismos/4693138-colegio-publico-agustin-rodriguez-sahagun.json,https://datos.madrid.es/egob/kos/entidadesYorganismos/CentrosEducacion/ColegiosPublicos,4693138,Colegio Público Agustín Rodriguez Sahagún,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=706c615f4eb66110VgnVCM1000000b205a0aRCRD,https://datos.madrid.es/egob/kos/Provincia/Madrid/Municipio/Madrid/Distrito/VillaDeVallecas,https://datos.madrid.es/egob/kos/Provincia/Madrid/Municipio/Madrid/Distrito/VillaDeVallecas/Barrio/CascoHVallecas,MADRID,28031,CALLE LA GRANJA DE SAN ILDEFONSO 17,40.36803998494376,-3.6221677428793977, ENSEÑANZA: Educacion Infantil - Primaria - Enseñanza biling&amp;uuml;e Bus: 142,0,,Horario ampliado - Comedor - Planes de mejora,Colegio Público Agustín Rodriguez Sahagún
3,https://datos.madrid.es/egob/catalogo/tipo/entidadesyorganismos/5076-colegio-publico-alberto-alcocer.json,https://datos.madrid.es/egob/kos/entidadesYorganismos/CentrosEducacion/ColegiosPublicos,5076,Colegio Público Alberto Alcocer,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2388a3f5ca71c010VgnVCM1000000b205a0aRCRD,https://datos.madrid.es/egob/kos/Provincia/Madrid/Municipio/Madrid/Distrito/SanBlas-Canillejas,https://datos.madrid.es/egob/kos/Provincia/Madrid/Municipio/Madrid/Distrito/SanBlas-Canillejas/Barrio/Hellin,MADRID,28022,AVENIDA CANILLEJAS A VICALVARO 56,40.43333782278732,-3.6120521748962555," ENSEÑANZA: Educación Infantil - Primaria - Enseñanza biling&amp;uuml;e METRO: Las Musas BUS: 38 , 48 , 140, 153",0,,Comedor - Transporte - Horario ampliado - Planes de mejora.,Colegio Público Alberto Alcocer
4,https://datos.madrid.es/egob/catalogo/tipo/entidadesyorganismos/5077-colegio-publico-alcalde-mostoles.json,https://datos.madrid.es/egob/kos/entidadesYorganismos/CentrosEducacion/ColegiosPublicos,5077,Colegio Público Alcalde de Móstoles,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7898a3f5ca71c010VgnVCM1000000b205a0aRCRD,https://datos.madrid.es/egob/kos/Provincia/Madrid/Municipio/Madrid/Distrito/Latina,https://datos.madrid.es/egob/kos/Provincia/Madrid/Municipio/Madrid/Distrito/Latina/Barrio/LasAguilas,MADRID,28044,CALLE ALDEANUEVA DE LA VERA 9,40.37983690289588,-3.7764479299262628," ENSEÑANZA: Educación Infantil - Primaria BUS: 34 , 39 , 139 , 117 , 17 ,",0,,Transporte - Comedor - Horario ampliado - Planes de mejora,Colegio Público Alcalde de Móstoles
5,https://datos.madrid.es/egob/catalogo/tipo/entidadesyorganismos/5078-colegio-publico-alfonso-x-sabio.json,https://datos.madrid.es/egob/kos/entidadesYorganismos/CentrosEducacion/ColegiosPublicos,5078,Colegio Público Alfonso X El Sabio,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cda8a3f5ca71c010VgnVCM1000000b205a0aRCRD,https://datos.madrid.es/egob/kos/Provincia/Madrid/Municipio/Madrid/Distrito/Vicalvaro,https://datos.madrid.es/egob/kos/Provincia/Madrid/Municipio/Madrid/Distrito/Vicalvaro/Barrio/CascoHVicalvaro,MADRID,28032,CALLE FUENTE DE SAN PEDRO 6,40.403201384467415,-3.6036948781029365," ENSEÑANZA: Educación Infantil - Primaria METRO: San Cipriano BUS: 4, 71, 100, 106, E-3",0,,Comedor - Transporte -  Horario ampliado - Planes de mejora.,Colegio Público Alfonso X El Sabio
6,https://datos.madrid.es/egob/catalogo/tipo/entidadesyorganismos/10770379-colegio-publico-alfredo-di-stefano.json,https://datos.madrid.es/egob/kos/entidadesYorganismos/CentrosEducacion/ColegiosPublicos,10770379,Colegio Público Alfredo di Stefano,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=32c2f9dd06e95610VgnVCM1000001d4a900aRCRD,https://datos.madrid.es/egob/kos/Provincia/Madrid/Municipio/Madrid/Distrito/Hortaleza,https://datos.madrid.es/egob/kos/Provincia/Madrid/Municipio/Madrid/Distrito/Hortaleza/Barrio/Hellin,MADRID,28022,calle felix candela 4,40.43333782278732,-3.6120521748962555," ENSEÑANZA: Educación Infantil - Primaria - Enseñanza biling&amp;uuml;e BUS: 171, 174",0,,,Colegio Público Alfredo di Stefano
7,https://datos.madrid.es/egob/catalogo/tipo/entidadesyorganismos/5079-colegio-publico-alhambra.json,https://datos.madrid.es/egob/kos/entidadesYorganismos/CentrosEducacion/ColegiosPublicos,5079,Colegio Público Alhambra,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=13c8a3f5ca71c010VgnVCM1000000b205a0aRCRD,https://datos.madrid.es/egob/kos/Provincia/Madrid/Municipio/Madrid/Distrito/Fuencarral-ElPardo,https://datos.madrid.es/egob/kos/Provincia/Madrid/Municipio/Madrid/Distrito/Fuencarral-ElPardo/Barrio/PenaGrande,MADRID,28035,CALLE RAMON GOMEZ DE LA SERNA 103,40.48349348726197,-3.726718327962491," ENSEÑANZA: Educación Infantil - Primaria - Enseñanza biling&amp;uuml;e METRO: Lacoma BUS: 49 , 67 , 82",0,,Comedor - Transporte - Horario ampliado - Planes de mejora.,Colegio Público Alhambra
8,https://datos.madrid.es/egob/catalogo/tipo/entidadesyorganismos/5080-colegio-publico-amadeo-vives.json,https://datos.madrid.es/egob/kos/entidadesYorganismos/CentrosEducacion/ColegiosPublicos,5080,Colegio Público Amadeo Vives,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=68d8a3f5ca71c010VgnVCM1000000b205a0aRCRD,https://datos.madrid.es/egob/kos/Provincia/Madrid/Municipio/Madrid/Distrito/Latina,https://datos.madrid.es/egob/kos/Provincia/Madrid/Municipio/Madrid/Distrito/Latina/Barrio/Aluche,MADRID,28047,CALLE LOS YEBENES 6,40.39743593771221,-3.755392529137971," ENSEÑANZA: Educación Infantil - Primaria BUS: 25 , 31 , 138",0,,Comedor - Horario ampliado - Planes de mejora - Integración preferente (Trastornos generales del desarrollo),Colegio Público Amadeo Vives
9,https://datos.madrid.es/egob/catalogo/tipo/entidadesyorganismos/5081-colegio-publico-amador-rios.json,https://datos.madrid.es/egob/kos/entidadesYorganismos/CentrosEducacion/ColegiosPublicos,5081,Colegio Público Amador de los Ríos,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=bde8a3f5ca71c010VgnVCM1000000b205a0aRCRD,https://datos.madrid.es/egob/kos/Provincia/Madrid/Municipio/Madrid/Distrito/Salamanca,https://datos.madrid.es/egob/kos/Provincia/Madrid/Municipio/Madrid/Distrito/Salamanca/Barrio/FuenteBerro,MADRID,28028,PASEO MARQUES DE ZAFRA 16,40.426279629183625,-3.6665578263940595," ENSEÑANZA: Educación Infantil - Primaria - Enseñanza biling&amp;uuml;e METRO: Manuel Becerra  BUS: 12 , 2 , 56 , 71 , 143, 156, C2",0,,Comedor - Planes de mejora,Colegio Público Amador de los Ríos
