,BiciMAD station,Station location,Coordinates
68,70 - Puerta del Doce de Octubre,Avenida de Menéndez Pelayo nº 63,"[-3.6779232, 40.4153053]"
69,71 - Doce de Octubre,Calle Doce de Octubre nº 28,"[-3.6738865, 40.4159569]"
70,72 - Sainz de Baranda,Calle Doctor Esquerdo nº 99,"[-3.6691838, 40.4157413]"
71,73 - Plaza de los Astros,Avenida de Nazaret nº 7,"[-3.6689089, 40.4114475]"
72,74 - Puerta del Pacífico ,Avenida de Menéndez Pelayo nº 73,"[-3.6766813, 40.4117627]"
73,75 - Menéndez Pelayo,Avenida de Menéndez Pelayo con calle Poeta Esteban Villegas,"[-3.6784838, 40.4082805]"
74,76 - Puerta de Mariano de Cavia,Avenida del Mediterráneo nº 19,"[-3.6751352, 40.4071304]"
75,77 - Conde de Casal,Plaza del Conde de Casal nº 8,"[-3.670422, 40.40635]"
76,78 - Pedro Bosch,Calle Cerro de la Plata nº 2,"[-3.6744, 40.400789]"
77,79 - Puerta de Granada,Avenida de Menéndez Pelayo nº 38,"[-3.6803874, 40.4051451]"
78,80a - Atocha A,Paseo de la Infanta Isabel nº 3,"[-3.6902255, 40.4075685]"
79,80b - Atocha B,Paseo de la Infanta Isabel nº 3,"[-3.6901234, 40.4074902]"
80,81 - Cuesta de Moyano,Cuesta de Claudio Moyano,"[-3.691987, 40.409297]"
81,82 - Niño Jesús,Calle Doctor Esquerdo nº 161,"[-3.6697526, 40.4084556]"
82,83 - Pío Baroja,Calle Pío Baroja nº 10,"[-3.6745323, 40.4132995]"
83,84 - Valderribas,Calle Doctor Esquerdo nº 191,"[-3.6726019, 40.4032501]"
84,85 - Puerta de Madrid,Avenida de Menéndez Pelayo esquina calle O'Donnell,"[-3.680008, 40.421501]"
85,86 - Cibeles,Plaza Cibeles,"[-3.6933498, 40.4186516]"
86,87 - Ayala,Calle Ayala nº 44,"[-3.6832566, 40.427736]"
87,88 - Embajada de Italia,Calle Velázquez nº 75,"[-3.6838303, 40.4313576]"
88,89 - Conde Peñalver,Calle Ayala nº 102,"[-3.6752024, 40.4272582]"
89,90 - General Pardiñas,Calle Goya nº 18,"[-3.6837876, 40.4250361]"
90,91 - Príncipe de Vergara,Calle Hermosilla nº 70,"[-3.6787441, 40.426134]"
91,92 - Claudio Coello,Calle Claudio Coello nº 45,"[-3.6865463, 40.4262945]"
92,93 - Plaza de Colón,Calle Goya nº 1,"[-3.6893698, 40.4257046]"
93,94 - Biblioteca Nacional,Paseo de Recoletos nº 20,"[-3.690756, 40.4232153]"
94,95 - Villanueva,Calle Claudio Coello nº 109,"[-3.6870548, 40.4226584]"
95,96 - Castelló,Calle Alcalá nº 111,"[-3.6821793, 40.422064]"
96,97 - Alcalá,Avenida de Menéndez Pelayo nº 3,"[-3.6805189, 40.4222969]"
97,98 - Plaza de Felipe II,Plaza de Felipe II,"[-3.6758383, 40.4239447]"
98,99 - Alcántara,Calle Alcántara nº 2,"[-3.6738714, 40.4261851]"
99,100 - Palacio de Deportes,Calle Goya nº 99,"[-3.67384, 40.42478]"
100,101 - Jorge Juan,Calle Jorge Juan nº 131,"[-3.6691524, 40.4231526]"
101,102 - Velázquez,Calle Alcalá nº 95,"[-3.6840229, 40.4211802]"
102,103 - Ortega y Gasset,Calle José Ortega y Gasset nº 4,"[-3.68653, 40.43037]"
103,104 - Castellana,Paseo de la Castellana nº 4,"[-3.68958, 40.42677]"
104,105 - Serrano,Calle Serrano nº 54,"[-3.68745, 40.42699]"
105,106a - Colón A,Calle Serrano nº 34,"[-3.6877227, 40.4251002]"
106,106b - Colón B,Calle Serrano nº 34,"[-3.687745, 40.424963]"
107,107 - Columela,Calle Serrano nº 8,"[-3.6884369, 40.4215246]"
108,108 - Mártires Concepcionistas,Calle Mártires Concepcionistas nº 2,"[-3.6706024, 40.4273005]"
109,109 - Marqués de Salamanca,Calle José Ortega y Gasset nº 30,"[-3.6816402, 40.4300481]"
110,110 - Moncloa,Paseo de Moret nº 2,"[-3.7200845, 40.4347895]"
111,111a - Arcipreste de Hita A,Calle Arcipreste de Hita nº 12,"[-3.7175435, 40.4337322]"
112,111b - Arcipreste de Hita B,Calle Arcipreste de Hita nº 12,"[-3.7179687, 40.4341006]"
113,112 - Paseo de Moret,Paseo de Moret nº 11,"[-3.7246532, 40.4325991]"
114,113 - Pintor Rosales,Paseo del Pintor Rosales frente al nº 38,"[-3.7205129, 40.427657]"
115,114 - Quintana,Calle Quintana nº 11,"[-3.7174158, 40.4277456]"
116,115 - Ferraz,Calle Evaristo San Miguel nº 2,"[-3.7170448, 40.4253944]"
117,116a - Plaza de España A,Calle Princesa nº 5,"[-3.713053, 40.423668]"
118,116b - Plaza de España B,Calle Princesa nº 5,"[-3.710537, 40.423681]"
119,117 - Altamirano,Calle Altamirano nº 24,"[-3.7188898, 40.4309797]"
120,118 - Juan Martín,Calle Juan Martín el Empecinado nº 16,"[-3.6882407, 40.400781]"
121,119 - Méndez Álvaro,Calle Méndez Álvaro nº 11,"[-3.6863218, 40.4013216]"
122,120 - Palos de la Frontera,Calle Palos de la Frontera nº 27,"[-3.6944768, 40.4032208]"
123,121 - Santa María de la Cabeza,Paseo de Santa María de la Cabeza nº 58,"[-3.6987665, 40.4017926]"
124,122 - Santa Engracia 14,Calle Santa Engracia nº 14,"[-3.6967169, 40.4291992]"
125,123 - Guzmán el Bueno,Calle Guzmán el Bueno nº 1,"[-3.7133412, 40.4306458]"
126,124 - Manuel Silvela,Calle Manuel Silvela nº 20,"[-3.6993465, 40.4309524]"
127,125 - General Martínez Campos ,Calle Fernández de la Hoz nº 29,"[-3.6948626, 40.435285]"
128,126 - General Álvarez de Castro,Calle del General Álvarez de Castro nº 1,"[-3.7015686, 40.4344731]"
129,127 - Fernando el Católico,Calle Fernando el Católico nº 19,"[-3.708439, 40.4338516]"
