,BiciMAD station,Station location,Latitude,Longitude
84,Puerta de Madrid,Avenida de Menéndez Pelayo esquina calle O'Donnell,40.421501,-3.680008
85,Cibeles,Plaza Cibeles,40.4186516,-3.6933498
86,Ayala,Calle Ayala 44,40.427736,-3.6832566
87,Embajada de Italia,Calle Velázquez 75,40.4313576,-3.6838303
88,Conde Peñalver,Calle Ayala 102,40.4272582,-3.6752024
89,General Pardiñas,Calle Goya 18,40.4250361,-3.6837876
90,Príncipe de Vergara,Calle Hermosilla 70,40.426134,-3.6787441
91,Claudio Coello,Calle Claudio Coello 45,40.4262945,-3.6865463
92,Plaza de Colón,Calle Goya 1,40.4257046,-3.6893698
93,Biblioteca Nacional,Paseo de Recoletos 20,40.4232153,-3.690756
94,Villanueva,Calle Claudio Coello 109,40.4226584,-3.6870548
95,Castelló,Calle Alcalá 111,40.422064,-3.6821793
96,Alcalá,Avenida de Menéndez Pelayo 3,40.4222969,-3.6805189
97,Plaza de Felipe II,Plaza de Felipe II,40.4239447,-3.6758383
98,Alcántara,Calle Alcántara 2,40.4261851,-3.6738714
99,Palacio de Deportes,Calle Goya 99,40.42478,-3.67384
100,Jorge Juan,Calle Jorge Juan 131,40.4231526,-3.6691524
101,Velázquez,Calle Alcalá 95,40.4211802,-3.6840229
102,Ortega y Gasset,Calle José Ortega y Gasset 4,40.43037,-3.68653
103,Castellana,Paseo de la Castellana 4,40.42677,-3.68958
104,Serrano,Calle Serrano 54,40.42699,-3.68745
105,Colón A,Calle Serrano 34,40.4251002,-3.6877227
106,Colón B,Calle Serrano 34,40.424963,-3.687745
107,Columela,Calle Serrano 8,40.4215246,-3.6884369
108,Mártires Concepcionistas,Calle Mártires Concepcionistas 2,40.4273005,-3.6706024
109,Marqués de Salamanca,Calle José Ortega y Gasset 30,40.4300481,-3.6816402
110,Moncloa,Paseo de Moret 2,40.4347895,-3.7200845
111,Arcipreste de Hita A,Calle Arcipreste de Hita 12,40.4337322,-3.7175435
112,Arcipreste de Hita B,Calle Arcipreste de Hita 12,40.4341006,-3.7179687
113,Paseo de Moret,Paseo de Moret 11,40.4325991,-3.7246532
114,Pintor Rosales,Paseo del Pintor Rosales frente al 38,40.427657,-3.7205129
115,Quintana,Calle Quintana 11,40.4277456,-3.7174158
116,Ferraz,Calle Evaristo San Miguel 2,40.4253944,-3.7170448
117,Plaza de España A,Calle Princesa 5,40.423668,-3.713053
118,Plaza de España B,Calle Princesa 5,40.423681,-3.710537
119,Altamirano,Calle Altamirano 24,40.4309797,-3.7188898
120,Juan Martín,Calle Juan Martín el Empecinado 16,40.400781,-3.6882407
121,Méndez Álvaro,Calle Méndez Álvaro 11,40.4013216,-3.6863218
122,Palos de la Frontera,Calle Palos de la Frontera 27,40.4032208,-3.6944768
123,Santa María de la Cabeza,Paseo de Santa María de la Cabeza 58,40.4017926,-3.6987665
124,Santa Engracia 14,Calle Santa Engracia 14,40.4291992,-3.6967169
125,Guzmán el Bueno,Calle Guzmán el Bueno 1,40.4306458,-3.7133412
126,Manuel Silvela,Calle Manuel Silvela 20,40.4309524,-3.6993465
127,General Martínez Campos ,Calle Fernández de la Hoz 29,40.435285,-3.6948626
128,General Álvarez de Castro,Calle del General Álvarez de Castro 1,40.4344731,-3.7015686
129,Fernando el Católico,Calle Fernando el Católico 19,40.4338516,-3.708439
130,Cea Bermúdez,Calle Cea Bermúdez 59,40.438994,-3.7154329
131,José Abascal,Calle José Abascal 33,40.4383865,-3.6982353
132,Santa Engracia 127,Calle Santa Engracia 127,40.44156,-3.70164
133,Bravo Murillo 44,Calle Bravo Murillo 44,40.4418402,-3.7040344
134,Glorieta de los Cuatro Caminos,Calle Santa Engracia 168,40.4463667,-3.7036675
135,Raimundo Fernández,Calle Raimundo Fernández Villaverde 33,40.447125,-3.7001669
136,Agustín de Betancourt,Calle María de Guzmán 58,40.4440297,-3.6956047
137,Plaza de San Juan de la Cruz,Plaza de San Juan de la Cruz 11,40.4415974,-3.6927821
138,Castellana 106,Paseo de la Castellana 106,40.4453307,-3.690861
139,Plaza de la República Argentina,Plaza de la República Argentina 6,40.445411,-3.6853312
140,Paseo de la Castellana con Raimundo Fernández,Paseo de la Castellana esquina calle Raimundo Fernández Villaverde,40.4457414,-3.6917932
141,José Gutiérrez Abascal ,Calle José Gutiérrez Abascal 2,40.4396792,-3.6907784
142,Velázquez 130,Calle Velázquez 130,40.4385127,-3.6831578
143,Paseo de la Castellana ,Paseo de la Castellana 43,40.4355143,-3.6892368
144,Castellana 42,Paseo de la Castellana 42,40.4334087,-3.6879154
145,Diego de León 52,Calle Diego de León 52,40.4345973,-3.678492
146,Juan Bravo 50,Calle Juan Bravo 50,40.4323655,-3.6758555
147,Ortega y Gasset 87,Calle Ortega y Gasset 87,40.429887,-3.6712823
148,María Francisca 1,Calle María Francisca 1,40.4442258,-3.6787169
149,Doctor Arce 45,Avenida del Doctor Arce 45,40.4483269,-3.6797296
150,Serrano 210,Calle Serrano 210,40.4510188,-3.6817962
151,Paseo de la Habana 42,Paseo de la Habana 42,40.4498613,-3.6881689
152,Castellana frente a Hermanos Pinzón,Paseo de la Castellana 122,40.4488924,-3.6905604
153,Orense 12,Calle Orense 12,40.4489101,-3.6952943
154,General Perón 1,Avenida del General Perón frente al 4,40.4527164,-3.6990077
