Place of interest,Type of place,Place address,BiciMAD station,Station location
Colegio Público Santo Domingo,Colegio Público,Calle San Feliu De Guixols 7,Pavones,Calle Hacienda de Pavones 342
Colegio Público Tirso de Molina,Colegio Público,Calle Bronce 1,Embajadores 191,Calle Sodio 1B
Colegio Público Tomás Bretón,Colegio Público,Calle Alejandro Dumas 4,Pirámides,Calle Toledo 181
Colegio Público Valdebernardo,Colegio Público,Calle Tren De Arganda 9,Pavones,Calle Hacienda de Pavones 342
Colegio Público Vasco Núñez de Balboa,Colegio Público,Calle Nuestra Señora De Valverde 149,Pedro Rico,Calle Pedro Rico 4
Colegio Público Vicálvaro,Colegio Público,Calle Forges 15,Pavones,Calle Hacienda de Pavones 342
Colegio Público Virgen del Cerro,Colegio Público,Calle Mohernando 1,Plaza del Encuentro,Calle Arroyo de las Pilillas 6
Colegio Público Virgen del Cortijo,Colegio Público,Avenida Manoteras 63,Manuel Caldeiro,Paseo de la Castellana 298
Colegio Público Vázquez de Mella,Colegio Público,Calle Bailen 18,Plaza de San Francisco,Plaza de San Francisco 5
Colegio Público Winston Churchill,Colegio Público,Avenida Gran Via Del Este 5,Pavones,Calle Hacienda de Pavones 342
Colegio Público de Practicas Asunción Rincón,Colegio Público,Avenida Filipinas 5,Parque Santander,Calle Santander esquina con Avenida de Filipinas
Colegio Público Álvaro de Bazan,Colegio Público,Calle Zurich 10,Pavones,Calle Hacienda de Pavones 342
