,BiciMAD station,Station location,Latitude,Longitude
113,Manuel Caldeiro,Paseo de la Castellana 298,40.47938,-3.68532
114,Remonta,Calle Azucenas 1,40.4630277,-3.6973333
115,San Delfín,Calle San Delfín 9,40.39440607959559,-3.7080429728445563
116,Manuel Caldeiro,Paseo de la Castellana 298,40.47938,-3.68532
117,Pedro Rico,Calle Pedro Rico 4,40.481086,-3.688463
118,Pedro Bosch,Calle Cerro de la Plata 2,40.400789,-3.6744
119,Méndez Álvaro,Calle Retama 5,40.3941388,-3.6758888
120,Remonta,Calle Azucenas 1,40.4630277,-3.6973333
121,Pavones,Calle Hacienda de Pavones 342,40.400368,-3.634587
122,Caramuel,Calle Caramuel 51,40.40913630273305,-3.728533714316331
123,Pavones,Calle Hacienda de Pavones 342,40.400368,-3.634587
124,Metro Tetuán,Calle Marqués de Viana 3,40.4607502,-3.6989925
125,Antonio López,Calle Eugenio Caxes frente al 12,40.3917871,-3.7026789
126,Carlota O’Neill,Calle Carlota O'Neill 32,40.44370542379883,-3.648958444298144
127,Embajadores 191,Calle Sodio 1B,40.389258643579105,-3.6903589643353483
128,Marqués de Vadillo,Glorieta Marqués de Vadillo 9,40.398247,-3.716591
129,Gutierre de Cetina,Calle Gutierre de Cetina 77,40.429706,-3.640994
130,Gutierre de Cetina,Calle Gutierre de Cetina 77,40.429706,-3.640994
131,Caramuel,Calle Caramuel 51,40.40913630273305,-3.728533714316331
132,Caramuel,Calle Caramuel 51,40.40913630273305,-3.728533714316331
133,Pavones,Calle Hacienda de Pavones 342,40.400368,-3.634587
134,Embajadores 1,Glorieta de Embajadores 6,40.4047851,-3.7028265
135,Marqués de Corbera 52,Avenida Marqués de Corbera 52,40.426207143200884,-3.651034981803642
136,Manuel Caldeiro,Paseo de la Castellana 298,40.47938,-3.68532
137,Francos Rodríguez,Calle Francos Rodríguez 62,40.45673408797698,-3.708002730875242
138,Marqués de Vadillo,Glorieta Marqués de Vadillo 9,40.398247,-3.716591
139,Pedro Rico,Calle Pedro Rico 4,40.481086,-3.688463
140,Pavones,Calle Hacienda de Pavones 342,40.400368,-3.634587
141,Embajadores 191,Calle Sodio 1B,40.389258643579105,-3.6903589643353483
142,Pavones,Calle Hacienda de Pavones 342,40.400368,-3.634587
143,Prosperidad,Calle Suero de Quiñones 2,40.4441388,-3.6751388
144,Carlota O’Neill,Calle Carlota O'Neill 32,40.44370542379883,-3.648958444298144
145,Francos Rodríguez,Calle Francos Rodríguez 62,40.45673408797698,-3.708002730875242
146,Concordia,Calle Arroyo del Olivar 6,40.39382977920336,-3.6659362429356372
147,Marqués de Vadillo,Glorieta Marqués de Vadillo 9,40.398247,-3.716591
148,Caramuel,Calle Caramuel 51,40.40913630273305,-3.728533714316331
149,Concordia,Calle Arroyo del Olivar 6,40.39382977920336,-3.6659362429356372
